Year,City Code,City ,GDP,Proportion of primary industry,Proportion of secondary industry,Proportion of the third industry,Per Capita GDP,Urbanization Rate,Unemployment,Average Wage,City Area,Cultivated Area,Grain Yield,GDP of industries above designated size,GDP of foreign-invested enterprises,Total Retail Consumer Goods,Expenditure on education,Public libraries per 100 inhabitants,Number of hospital beds,Total passenger traffic,Total freight volume,Total telecommunication services,Number of international Internet users,Number of participants in medical insurance
2020,340300,蚌埠,20830000,12.24,40.09,47.67,63209,#DIV/0!,,80102,,,,,,12025026,591496,,21473,,,,,547934
2019,340300,蚌埠,20570000,11.39,41.12,47.5,60469,NaN,14113,75285,5951,,,,,12021072,592131,,18086,,,210783,920000,530676
2018,340300,蚌埠,17146560,12.12,44.46,43.42,50662,NaN,18444,70034,5951,,277.06,,,8234556,533913,,17101,,,235307,840000,513283
2017,340300,蚌埠,15506600,,,,46233,NaN,18091,61537,5951,,285.86,,,7251307,527459,,15289,,,250946,690000,478511
2016,340300,蚌埠,13858228,14.43,43.95,41.61,41855,NaN,42719,56015,5951,,280.5,29764505,383676,6439881,495467,,17812,,,212181,590000,472995
2015,340300,蚌埠,12530550,15.05,47.96,36.99,38267,NaN,37435,51146,5951,,286.59,25968159,344531,5706475,457466,33,17343,,,199561,490000,467342
2014,340300,蚌埠,11511949,15.49,51.9,32.6,35542,NaN,19228,45369.46,5951,,275.51,22155370,311764,5065648,354791,30,15830,8037,39446,189646,410000,1076268
2013,340300,蚌埠,10078541,17.1,51.17,31.73,27462,NaN,17096,42434,5952,,263.6,18226159,272993,4248198,339008,29,15353,18733,26332,206793,370000,446874
2012,340300,蚌埠,8902164,17.85,50,32.16,27999,NaN,17934,38447.09,5952,,261.2,14862930,473538,3715134,293127,13,14227,16415,22322,170060,310000,1042031
2011,340300,蚌埠,7802393,18.5,49.33,32.17,24574,NaN,21947,33059,5952,,276.2,12906982,613662,3192848,249785,13,13102,14342,19120,107483,803300,421780
2010,340300,蚌埠,6368877,18.84,47.25,33.91,17621,NaN,22045,28706.94,5941,,271,7726842,496572,2698664,170631,12,12218,12417,15828,132187,201593,
2009,340300,蚌埠,5320870,19.62,44.44,35.94,14803,NaN,23860,25512.23,5952,,264.41,5301139,308235,2269774,134837,11,11250,9888,12539,372517,159600,
2008,340300,蚌埠,4863852,20.58,39.62,39.8,13632,0.279813569,23705,22347.91,5952,,253.42,4166349,269575,1915515,121815,8,10071,5099,6264,156460,167900,
2007,340300,蚌埠,4096988,20.11,39.14,40.75,12818,0.272384384,23098,19761.83,5952,359,226.91,3274801,316304,1562442,91556,11,9279,4348,4177,142900,141500,
2006,340300,蚌埠,3590200,20.98,39.32,39.7,10231,0.26660425,23539,15982.78,5952,359,244.7,2614145,228554,1337980,70928,10,9024,3622,4233,134473,113563,
2005,340300,蚌埠,3113300,21.76,38.4,39.84,9465,0.265393754,22559,13979.99,5952,360,208.4,1774316,87283,1169022,52167,10,9004,3019,3092,123305,148900,
2004,340300,蚌埠,2636600,24.9,41.29,33.81,7621,0.260829467,22102,12282.19,5952,367,215.6,1667964,49249,1015669,51146,11,8110,2747,2816,108916,115274,
2003,340300,蚌埠,2081442,19.86,43.41,36.74,6269,0.247209579,21344,10263.72,5952,376,118,1312619,57364,886858,44042,11,8165,2407,2684,60788,111900,
2002,340300,蚌埠,1901881,23.34,40.26,36.4,5564,0.243517278,20542,9010.18,5952,287,186.87,1086818,37952,819209,,10,7923,2465,1930,84824,86300,
2001,340300,蚌埠,1716516,23.6,39.72,36.68,5067,0.241574849,17129,7929.37,5952,289,158.33,936953,23587,760650,,10,8491,2409,1762,73844,55662,
2000,340300,蚌埠,1596623,25.4,39.2,35.4,,0.23987308,20233,6967,5952,290,177.25,861284,4873,707900,,10,8498,2297,1636,,,
1999,340300,蚌埠,1802529,23.8,43.6,32.7,,0.237668161,17211,6448,5832,291,208.92,801703,710,664676,,11,8433,2097,1411,,,
1998,340300,蚌埠,1760829,23.3,45.5,31.3,,0.235775096,,6056,5832,291,177.18,,,626433,,11,8310,1728,1187,,,
1997,340300,蚌埠,1625911,24.43,46.16,29.41,,0.231880471,,5043,5832,292,198.65,,,578115,,10,,1425,528,,,
1996,340300,蚌埠,1374934,26,45.6,28.4,,0.228138785,,4783,5832,292,185.91,,,485190,,,,1271,716,,,
1995,340300,蚌埠,1146066,27.8,45,27.2,,0.223303433,,4092,5832,293,177.57,,,385606,,,,1271,705,,,
1994,340300,蚌埠,895261,26.754,43.602,29.644,,0.221421941,,3484.78,5832,294,160,,,292922,,,,1496,729,,,
1993,340300,蚌埠,,,,,,0.220093065,,,5832,295,,,,214107,8187,,,1670,609,,,
1992,340300,蚌埠,,,,,,0.218068943,,,,,143.58,,,,7370,,,1841,643,,,
1991,340300,蚌埠,350100,20.566,46.987,32.448,1170,0.215464497,,,5832,302,101,,,197069,,,,1761,631,,,
1990,340300,蚌埠,423200,33.412,38.965,27.623,1471,0.216333007,,,5832,302.667,169.66,,,193336,,,,1805,677,,,
2021,340400,淮南,14570000,10.36,40.84,48.87,48008,NaN,,109049,,,,,,8662257,490938,,15398,,,6498,70500000,622949
2020,340400,淮南,13370000,10.62,39.34,50.04,43557,#DIV/0!,,96671,,,,,,7743159,483048,,15559,,,,,608834
2019,340400,淮南,12960000,10.04,40.71,49.27,37140,NaN,21855,91156,5532,,,,,7614798,479160,,14991,,,196714,870000,589025
2018,340400,淮南,11333064,10.8,46.57,42.63,32487,NaN,21874,84508,5532,,320.22,,,6090160,454734,,14470,,,208990,800000,583631
2017,340400,淮南,10601800,,,,30540,NaN,23659,71218,5532,,289.65,,,5734456,446697,,13645,,,199161,680000,574704
2016,340400,淮南,9638395,12.29,47.17,40.55,27990,NaN,27274,58543,5532,,284.84,10076851,79909,5124626,373112,,15817,,,347671,590000,575383
2015,340400,淮南,9010822,12.38,48.09,39.53,26398,NaN,26068,59424,2584,,294.31,9713871,79478,4591704,234068,20,11913,,,155854,450000,529747
2014,340400,淮南,7893187,8.8,57.42,33.78,33361,NaN,24766,61775.37,2584,,139.43,9539209,68612,3483816,198921,17,11243,4648,21041,156338,370000,1125536
2013,340400,淮南,8193895,8.07,62.06,29.87,33720,NaN,29951,58597.11,2584,,133.94,10755297,166886,2912336,225132,16,10741,8680,15363,155735,320000,514771
2012,340400,淮南,7817510,7.75,64.09,28.16,33489,NaN,20872,57550.17,2584,,133.8,9940730,132152,2564708,231851,15,10900,7473,14552,147730,280000,1108231
2011,340400,淮南,7095384,7.88,65.03,27.09,30400,NaN,23573,51909.92,2584,,141.6,8932320,62632,2219529,195931,13,9790,6503,12911,124843,233980,490464
2010,340400,淮南,6035491,7.78,64.42,27.8,26049,NaN,20254,45863.17,2585,,139.1,7889304,28993,1872078,127873,13,9156,5410,11566,112121,172100,
2009,340400,淮南,5087730,8.21,62.79,29,22169,NaN,20909,40022.26,2585,,137.01,6383515,39558,1590974,109576,13,8825,4519,9440,101700,125000,
2008,340400,淮南,4536200,8.69,61.1,30.21,19809,0.469030223,20598,37551.57,2585,,134.06,5545368,43916,1338741,96498,13,8568,2486,6428,91610,87272,
2007,340400,淮南,3442294,9.63,55.02,35.35,15699,0.462367388,19207,31367.54,2585,154,120.67,3463653,20852,1090181,74440,12,7799,2438,5549,89036,80052,
2006,340400,淮南,3049800,10.8,54.34,34.86,12876,0.455905843,20365,27491.87,2585,154,127.6,3049836,35063,935520,50415,11,8620,2139,5138,78276,58152,
2005,340400,淮南,2636000,11.19,53.18,35.63,11232,0.452370854,20125,22656.16,2585,154,108,2821416,35014,812084,36648,11,7868,2040,4690,65743,88215,
2004,340400,淮南,2144900,12.35,52.16,35.49,9225,0.452607244,20676,16973.18,2585,155,118.3,2213588,32870,630014,28918,10,7894,2014,4467,83392,75108,
2003,340400,淮南,1705041,10.42,51.1,38.49,8081,0.47195997,20970,11816.93,2121,124,52.5,1534684,20438,556015,23790,11,7344,1893,3511,45196,56695,
2002,340400,淮南,1521178,12.32,48.65,39.03,7275,0.460718534,16297,10187.07,2121,98,88.59,1330105,25632,511598,,11,7879,1857,2884,57449,48312,
2001,340400,淮南,1348558,12.65,47.34,40.01,6511,0.457760692,15530,8089.13,2121,98,70.75,1064434,7926,476229,,11,8318,1745,2612,62949,28078,
2000,340400,淮南,1259965,13.8,46.6,39.6,,0.452476833,15214,6824,2121,98,83.21,974453,8978,445000,,12,8402,1826,2021,,,
1999,340400,淮南,1258010,14.9,48.9,36.3,,0.450547283,19601,6021,2121,98,96.27,913786,11091,420798,,12,8264,1823,2670,,,
1998,340400,淮南,1240000,14.5,50.4,35.1,,0.449555933,,6014,2121,98,80.08,,,401797,,12,8434,1683,2751,,,
1997,340400,淮南,1230000,13.82,55.28,30.89,,0.447465136,,6056,2121,99,91.48,,,387504,,12,,1673,3389,,,
1996,340400,淮南,1063871,14.6,56.8,28.7,,0.439123086,,5858,2121,99,84.66,,,344948,,,,1483,3081,,,
1995,340400,淮南,834994,16.2,56.6,27.2,,0.437803995,,5198,2121,99,76.05,,,282754,,,,1283,2374,,,
1994,340400,淮南,683059,18.298,57.398,24.304,,0.438298764,,3916.64,2121,99,71.9,,,219959,,,,1114,2163,,,
1993,340400,淮南,,,,,,0.434484955,,,2121,99,,,,177300,4433,,,877,1916,,,
1992,340400,淮南,,,,,,0.431712156,,,,,67.21,,,,3868,,,819,1615,,,
1991,340400,淮南,253500,10.927,68.481,20.552,1398,0.421087099,,,2121,100.667,32,,,150469,,,,965,1539,,,
1990,340400,淮南,276500,20.759,61.808,17.468,1562,0.42326567,,,2121,100.667,71.14,,,139652,,,,885,1456,,,
2021,340500,马鞍山,24390000,4.26,49.45,46.29,113010,NaN,,107251,,,,,,9378548,400725,,11401,,,5985,,620365
2020,340500,马鞍山,21870000,4.53,47.83,47.65,101011,#DIV/0!,,92490,,,,,,7957887,384481,,11644,,,,,568325
2019,340500,马鞍山,21110000,4.46,48.95,46.59,89867,NaN,20234,83815,4049,,,,,7749795,373770,,8599,,,155653,770000,512479
2018,340500,马鞍山,19181000,4.53,53.59,41.88,82695,NaN,22036,82120,4049,,109.03,,,5899493,372347,,7922,,,170519,700000,510756
2017,340500,马鞍山,17100900,,,,74709,NaN,24823,71809,4049,,107.28,,,5294536,333407,,7610,,,166622,560000,505121
2016,340500,马鞍山,14937617,5.61,55.4,38.99,65833,NaN,,65060,4049,,105.47,28107553,2043291,4706254,311122,,8075,,,167635,510000,496317
2015,340500,马鞍山,13653044,5.82,56.66,37.52,60802,NaN,19637,60093,4049,,110.12,25407504,1849481,4185510,323886,51,7995,,,18796,430000,480845
2014,340500,马鞍山,13331200,5.78,62.34,31.88,60091,NaN,18925,59096.14,4049,,106.26,25602135,2007564,3735329,266454,49,7558,5188,16752,15789,380000,974007
2013,340500,马鞍山,12928032,6.14,64.52,29.34,56702,NaN,10201,55296.95,4049,,101.79,23773899,1649469,3013382,313134,47,6847,8465,21019,169000,340000,477557
2012,340500,马鞍山,12320000,5.8,66.47,27.73,56217,NaN,9274,51172.33,4049,,101.6,20169517,1400921,2629400,297574,86,6293,7133,19542,135500,300000,465804
2011,340500,马鞍山,11441815,5.85,68.09,26.07,52000,NaN,9605,45737.79,4042,,107,17899170,1377013,2260928,250134,49,5976,3036,14803,120400,248600,397560
2010,340500,马鞍山,8110148,3.51,69.49,27,62942,NaN,7494,42964.81,1686,,46.8,13575819,1702443,1478007,120550,43,3950,2521,12779,91063,187554,
2009,340500,马鞍山,6658905,3.86,66.53,29.61,51879,NaN,7702,38223.88,1686,,46.38,11305231,1164034,1257477,89689,43,2894,2291,12030,75805,127658,
2008,340500,马鞍山,6363000,3.86,67.96,28.18,49824,0.492271663,8831,35991.14,1686,,44.64,11620754,1019500,1059737,67209,43,3499,1457,5710,76381,118000,
2007,340500,马鞍山,5321000,3.97,65.71,30.31,41917,0.47981464,7486,31890.17,1686,81,42.02,8542365,905423,865255,60368,38,3320,1456,3803,65698,73762,
2006,340500,马鞍山,4289000,4.39,64.19,31.42,34010,0.474678044,8507,26289.7,1686,81,41.4,5890759,498336,734712,34212,29,3365,1453,2968,23076,62743,
2005,340500,马鞍山,3713461,4.67,64.82,30.51,29704,0.470948742,8489,24001.2,1686,81,38.8,5376539,224028,642884,27353,27,3154,1434,2561,21874,105100,
2004,340500,马鞍山,2650950,6.84,69.29,23.87,21337,0.467642093,10285,20948.14,1686,82,41.7,3980687,98341,526527,23472,27,2939,1391,2044,137698,72442,
2003,340500,马鞍山,1925237,7.05,64.9,28.05,15638,0.454831171,11100,16250.69,1686,83,26.6,2568230,78195,468632,17209,18,2983,1363,1849,39890,60108,
2002,340500,马鞍山,1545927,8.52,60.13,31.35,12768,0.443661972,11613,13638.16,1686,50,35.72,1840526,49324,414215,,26,2971,1485,1783,18174,47225,
2001,340500,马鞍山,1381549,9.3,59.24,31.46,11559,0.431653478,11211,11136.01,1686,48,33.99,1554387,44620,382580,,24,3258,1440,1772,17085,26100,
2000,340500,马鞍山,1261744,10,58.9,31.1,,0.427190992,9893,9489,1686,48,35.08,1324101,30935,355400,,24,3260,1397,1486,,,
1999,340500,马鞍山,1236502,10,62.6,27.3,,0.421364483,9770,8548,1686,48,37.85,1132920,19958,333365,,24,3196,1394,1356,,,
1998,340500,马鞍山,1171143,10.8,63.2,26,,0.417074217,,8310,1686,48,37,,,308956,,23,3223,501,725,,,
1997,340500,马鞍山,1235224,10.01,65.7,24.29,,0.413021013,,7552,1686,48,38.76,,,290792,,23,,448,728,,,
1996,340500,马鞍山,1093304,10.8,67.1,22,,0.410881638,,7335,1686,49,39.06,,,255149,,,,410,790,,,
1995,340500,马鞍山,942564,9.9,69.9,20.2,,0.407478763,,7023,1684,49,35.55,,,222080,,,,283,868,,,
1994,340500,马鞍山,800000,8.5,74.625,16.875,,0.405599362,,6158.81,1684,49,34.3,,,194636,,,,280,758,,,
1993,340500,马鞍山,,,,,,0.401059912,,,1684,49,,,,163204,5258,,,315,790,,,
1992,340500,马鞍山,,,,,,0.398836046,,,,,39.44,,,,3552,,,459,797,,,
1991,340500,马鞍山,320200,11.337,69.113,19.519,3023,0.366825709,,,1684,49.333,33,,,114205,,,,529,645,,,
1990,340500,马鞍山,280000,14.393,66.5,19.143,2695,0.36490994,,,1684,50,41.42,,,96214,,,,555,453,,,
2021,340600,淮北,12230000,7.03,42.03,50.86,62019,NaN,,90841,,,,,,5212791,365553,,9228,,,5185,48500000,459691
2020,340600,淮北,11190000,7.15,41.73,51.12,56661,#DIV/0!,,85560,,,,,,4608051,352703,,11132,,,,,456430
2019,340600,淮北,10780000,6.76,42.73,50.51,47654,NaN,16107,78796,2741,,,,,4549323,328446,,10406,,,121800,670000,439259
2018,340600,淮北,9851902,6.63,54.81,38.56,43962,NaN,16196,72146,2741,,144.18,,,3244805,299658,,9252,,,132140,610000,427902
2017,340600,淮北,9240100,,,,41660,NaN,16395,65286,2741,,129.55,,,3531274,252501,,9241,,,123523,520000,425458
2016,340600,淮北,7990337,7.7,56.34,35.95,36427,NaN,20986,48266,2741,,126.88,18259414,621000,3158564,256519,,10613,,,125681,420000,461071
2015,340600,淮北,7603904,7.8,58.1,34.1,35057,NaN,24149,51096,2741,,129.78,17858695,307212,2833546,222318,41,11065,,,121079,370000,461000
2014,340600,淮北,7596370,7.63,63.42,28.95,35324,NaN,20603,52683.96,2741,,125.02,18164522,367336,2197808,175319,40,10974,4013,19051,123979,350000,989247
2013,340600,淮北,7036634,7.86,67.02,25.13,32729,NaN,20941,52378.26,2741,,120.08,16374948,337696,1954577,164168,39,9526,9741,12491,120343,280000,317003
2012,340600,淮北,6205393,8.29,66.13,25.58,29278,NaN,19666,57000.61,2741,,119,14542282,299969,1716704,174951,36,8816,8545,11446,102523,230000,425123
2011,340600,淮北,5549156,8.45,66.34,25.21,26239,NaN,18205,50070.24,2741,,126.2,12027773,330705,1482829,167983,25,9897,7472,10517,90760,180276,417112
2010,340600,淮北,4616043,8.76,64.64,26.61,22309,NaN,17808,43009.75,2741,,124.6,8814120,200589,1255247,105974,12,9110,6172,9239,120023,145931,
2009,340600,淮北,3718734,9.58,61.39,29.02,18096,NaN,18238,35561.98,2741,,120.72,5765711,192198,1059316,98929,12,8624,5737,7333,107817,87130,
2008,340600,淮北,3490900,9.94,59.9,30.16,17029,0.432060432,17282,30020.36,2741,,115.74,4793099,170113,892224,87279,12,8290,4372,7192,65204,70133,
2007,340600,淮北,2671818,10.06,56.22,33.72,12674,0.430196097,17412,25325.6,2741,180,101.55,2980318,126885,727449,63445,9,7366,3903,6630,73026,56144,
2006,340600,淮北,2247200,11.39,53.5,35.11,11015,0.423892554,16232,18671.32,2741,180,107.9,2407165,108393,619341,41505,9,7624,3508,6472,64610,36373,
2005,340600,淮北,2089900,10.72,56.43,32.84,10245,0.394594338,14805,15810.72,2741,181,90.4,2270166,116865,543807,32404,13,6943,3017,6021,49357,20800,
2004,340600,淮北,1691300,14.21,55.02,30.76,8183,0.386312622,15283,13381.86,2741,182,94.8,1821512,113423,456100,24749,12,7244,2441,5424,42875,43143,
2003,340600,淮北,1324689,12.85,53.19,33.95,6541,0.386780426,12733,10613.91,2741,184,66.7,1216161,81854,408008,22086,12,6673,1989,4380,25889,22590,
2002,340600,淮北,1181038,15.41,49.79,34.8,5905,0.383808767,17194,9512.72,2725,135,84.86,1081185,58908,375590,,12,7423,1819,4484,30073,3610,
2001,340600,淮北,1073760,16.33,48.5,35.17,5436,0.379213201,17958,7750.98,2725,136,85.57,929878,53210,347383,,10,6552,1689,4189,10680,2685,
2000,340600,淮北,989529,15.6,49,35.3,,0.374426898,30000,7076,2725,136,72.37,818343,19784,322100,,10,6554,1507,3640,,,
1999,340600,淮北,987706,14.6,53.2,32.1,,0.377239199,23000,6749,2725,136,83.24,771702,3534,299526,,10,6606,1350,2879,,,
1998,340600,淮北,942207,13.1,56,30.9,,0.376246114,,6326,2725,136,51.35,,,281899,,10,6823,1235,2563,,,
1997,340600,淮北,938827,15.02,56.78,28.2,,0.372663741,,6298,2725,136,86.73,,,263877,,10,,1175,3181,,,
1996,340600,淮北,855020,14.8,58.7,26.4,,0.365816017,,6170,2725,136,71.7,,,227500,,,,1087,3265,,,
1995,340600,淮北,735759,17.3,56.5,26.2,,0.363372903,,5436,2725,136,74.5,,,186307,,,,1012,3117,,,
1994,340600,淮北,583448,13.412,58.679,27.909,,0.350211685,,4629.17,2725,137,56,,,147535,,,,922,2851,,,
1993,340600,淮北,,,,,,0.330299848,,,2771,137,,,,118502,4626,,,852,2635,,,
1992,340600,淮北,,,,,,0.320668332,,,,,67.26,,,,3920,,,784,2511,,,
1991,340600,淮北,274400,18.878,52.952,28.207,1686,0.27542502,,,2725,140,54,,,99433,,,,739,2205,,,
1990,340600,淮北,264500,23.781,51.115,25.104,1688,0.269793086,,,2725,140.667,68.7,,,89117,,,,692,2114,,,
2021,340700,铜陵,11660000,5.06,49.49,45.37,89112,NaN,,95182,,,,,,4105191,260495,,8089,,,3844,2300000,331517
2020,340700,铜陵,10040000,5.58,45.42,49,75748,#DIV/0!,,85332,,,,,,3503257,253246,,8142,,,,,382239
2019,340700,铜陵,9600000,5.49,46.33,48.19,58726,NaN,8705,76311,2992,,,,,3409099,255654,,7761,,,88587,450000,361735
2018,340700,铜陵,12223596,4.09,58.25,37.66,75524,NaN,9125,74690,2991,,58.17,,,3649675,262501,,7815,,,95636,410000,347503
2017,340700,铜陵,11221000,,,,69935,NaN,9402,65944,2991,,65.13,,,3432784,235405,,6678,,,90100,820000,338216
2016,340700,铜陵,9573000,5.12,59.5,35.38,59960,NaN,9935,61501,2991,,64.11,24169614,583633,3056798,234571,,7874,,,89951,310000,329442
2015,340700,铜陵,9116000,5.18,61.75,33.07,57387,NaN,9887,56543,1201,,66.98,22690067,487993,2723184,155222,102,5197,,,69075,210000,291904
2014,340700,铜陵,7163100,1.76,71.26,26.98,97193,NaN,9481,54336.55,1201,,15.97,19117598,506272,1891830,147545,96,5071,2386,5920,69956,180000,792600
2013,340700,铜陵,6806000,1.76,72.14,26.1,91973,NaN,9073,49065.66,1201,,15.25,17809047,491960,1555663,140836,91,4448,12120,12638,69552,170000,279114
2012,340700,铜陵,6213008,1.9,73.44,24.66,84819,NaN,10190,47626.68,1200,,15.3,16290230,209229,1372449,140833,82,4137,10641,10928,59570,130000,271647
2011,340700,铜陵,5794100,1.9,74.73,23.36,79704,NaN,10023,42796.05,1113,,16.1,15246586,239799,1177528,80797,75,3649,9221,9500,50798,93034,258472
2010,340700,铜陵,4667000,2.07,72.74,25.19,64496,NaN,9801,36641.39,1113,,15.7,11042303,269304,991536,65260,75,3412,7929,7936,48489,98081,
2009,340700,铜陵,3437300,2.62,67.87,29.51,46765,NaN,10959,31025.5,1113,,15.62,6431051,158297,838221,55557,73,3581,7652,6227,46161,96040,
2008,340700,铜陵,3253100,2.59,67.11,30.3,44100,0.588306943,10177,27593.82,1113,,14.64,6638690,67331,706324,48792,60,3088,1464,3605,40910,55000,
2007,340700,铜陵,2869000,2.67,67.74,29.6,40116,0.587915818,10448,23383.23,1113,26,13.15,5865168,70241,571649,36945,57,3058,1499,3586,39518,50400,
2006,340700,铜陵,2436300,2.9,66.96,30.14,33526,0.579811243,10640,19288.42,1113,25,14.5,4861914,59198,486357,23045,55,3154,1504,3206,32571,38300,
2005,340700,铜陵,1820500,3.57,61.67,34.77,25309,0.549293824,10816,15826.68,1113,25,13.9,3163463,100779,422377,19557,54,3022,1497,3079,29707,24600,
2004,340700,铜陵,1367200,4.67,63.49,31.84,19183,0.544604216,10724,12761.71,1113,25,15.3,2234266,80861,343107,14629,51,3011,1458,1988,27032,55608,
2003,340700,铜陵,1030449,4.93,57.97,37.09,14591,0.536172613,11039,10983.25,1113,28,11.1,1450354,150318,299872,11849,49,2959,1271,1688,43068,50100,
2002,340700,铜陵,884156,5.82,56.19,37.99,12629,0.529152446,10968,9894.93,1113,24,13.79,1065568,50177,273409,,51,2882,1903,1653,36561,32500,
2001,340700,铜陵,801435,6.28,55.79,37.93,11556,0.522525108,9423,8591.67,1113,24,13.47,947876,45068,253158,,46,2738,1583,1362,27359,21981,
2000,340700,铜陵,733027,6.8,55.6,37.6,,0.514057971,5660,7766,1113,24,14,904464,32811,234400,,44,2765,1506,1582,,,
1999,340700,铜陵,685354,6.5,55.6,37.9,,0.505985401,5675,7153,1113,24,12.73,768881,15430,217935,,42,2787,1301,1841,,,
1998,340700,铜陵,643624,7.5,54.6,37.9,,0.502067947,,6819,1113,25,14.22,,,201910,,40,2796,1691,1458,,,
1997,340700,铜陵,580129,9.18,55.15,35.67,,0.49634601,,6102,1113,25,15.42,,,194020,,40,,1762,1344,,,
1996,340700,铜陵,519461,9.3,57.4,33.3,,0.493088942,,5873,1113,25,13.99,,,165852,,,,1690,1504,,,
1995,340700,铜陵,442654,8.8,60.8,30.4,,0.489525245,,5541,1113,25,13.27,,,127908,,,,1716,1120,,,
1994,340700,铜陵,333540,10.607,59.431,29.962,,0.481651376,,4716.02,1113,25,13.1,,,94471,,,,1252,1111,,,
1993,340700,铜陵,,,,,,0.467759563,,,1113,25,,,,754082,2138,,,380,726,,,
1992,340700,铜陵,,,,,,0.464358773,,,,,12.12,,,,1939,,,463,585,,,
1991,340700,铜陵,147600,8.13,70.393,21.477,2421,0.439628483,,,1113,24.667,10,,,55561,,,,458,721,,,
1990,340700,铜陵,138600,12.626,68.11,19.336,2306,0.438593595,,,1113,24.667,13.58,,,52322,,,,465,662,,,
2021,340800,安庆,26570000,9.52,43.73,46.71,63707,NaN,,90185,,,,,,12841489,892457,,21782,,,3558,,513363
2020,340800,安庆,24680000,9.72,43.23,47.04,58684,#DIV/0!,,79459,,,,,,11283928,872896,,21707,,,,,491210
2019,340800,安庆,23810000,9.08,44.92,45.98,50574,NaN,8553,71841,13538,,,,,10944065,851921,,17915,,,248591,1250000,454770
